id,model,makeId,typeId
519,328,9,1
520,328 I,9,1
521,328 IA,9,1
522,328 IC,9,1
523,328 ICA,9,1
524,328 IS,9,1
525,328 ISA,9,1
526,328CI,9,1
527,328I GRAN TURISMO,9,1
528,328I TOURING,9,1
529,330 CI,9,1
530,330 CI A,9,1
531,330 D,9,1
532,330 I,9,1
533,330 I A,9,1
534,330 XD,9,1
535,330I,9,1
536,335I,9,1
537,428I,9,1
538,430I,9,1
539,435I,9,1
540,440I,9,1
541,523 I,9,1
542,525 D,9,1
543,525 I,9,1
544,525 IA,9,1
545,525 TDS,9,1
546,525I,9,1
547,528,9,1
548,528 I,9,1
549,528 IA,9,1
550,530 IA TOURING,9,1
551,530D,9,1
552,530D A,9,1
553,530I,9,1
554,530IA,9,1
555,535 I,9,1
556,535I GT,9,1
557,540 IA,9,1
558,540I,9,1
559,540I PROTECTION,9,1
560,540IA PROTECTION,9,1
561,545I,9,1
562,550I,9,1
563,635 CSI,9,1
564,640 I,9,1
565,640I COUPE,9,1
566,645CI,9,1
567,645CI CABRIO,9,1
568,650 I,9,1
569,650CI,9,1
570,650CI CABRIO,9,1
571,650I,9,1
572,650I CABRIO,9,1
573,740 IA,9,1
574,740 IL,9,1
575,740I,9,1
576,745 I,9,1
577,745IA,9,1
578,750 I,9,1
579,750 IAL,9,1
580,750 IL,9,1
581,750LI XDRIVE,9,1
582,M 140 I,9,1
583,M 240 I,9,1
584,M 3,9,1
585,M 5,9,1
586,M135 I,9,1
587,M135I XDRIVE,9,1
588,M2,9,1
589,M235I,9,1
590,M240I,9,1
591,M240I XDRIVE,9,1
592,M340I XDRIVE,9,1
593,M4,9,1
594,M440I XDRIVE,9,1
595,M5 TOURING,9,1
596,M6,9,1
597,M850I XDRIVE,9,1
598,X1 1.8I,9,2
599,X1 18I,9,1
600,X1 2.0D,9,2
601,X1 2.8 I,9,2
602,X1 20I,9,1
603,X1 20I,9,2
604,X1 25I,9,2
605,X1 SDRIVE 18I,9,1
606,X1 SDRIVE 20I,9,1
607,X2 20I,9,1
608,X2 M35I,9,2
609,X2 SDRIVE 20I,9,1
610,X3 2.0 D,9,2
611,X3 2.0I,9,2
